tconst,primary_title,averagerating,numvotes,start_year,runtime_minutes,genres,weighted_rating
tt1375666,Inception,8.8,1841066,2010,148.0,"Action,Adventure,Sci-Fi",8.766945555516259
tt5813916,The Mountain II,9.3,100568,2016,135.0,"Action,Drama,War",8.70923025770897
tt4154796,Avengers: Endgame,8.8,441135,2019,181.0,"Action,Adventure,Sci-Fi",8.66767401074796
tt0816692,Interstellar,8.6,1299334,2014,169.0,"Adventure,Drama,Sci-Fi",8.557199788723992
tt1675434,The Intouchables,8.5,677343,2011,112.0,"Biography,Comedy,Drama",8.422855677354228
tt4154756,Avengers: Infinity War,8.5,670926,2018,149.0,"Action,Adventure,Sci-Fi",8.422144344369947
tt2582802,Whiplash,8.5,616916,2014,106.0,"Drama,Music",8.415593668018868
tt1345836,The Dark Knight Rises,8.4,1387769,2012,164.0,"Action,Thriller",8.363418099491142
tt1853728,Django Unchained,8.4,1211405,2012,165.0,"Drama,Western",8.358199962795362
tt4633694,Spider-Man: Into the Spider-Verse,8.5,210869,2018,117.0,"Action,Adventure,Animation",8.270288698387665
tt0435761,Toy Story 3,8.3,682218,2010,103.0,"Adventure,Animation,Comedy",8.230457404930306
tt2380307,Coco,8.4,277194,2017,105.0,"Adventure,Animation,Comedy",8.228978156416076
tt0993846,The Wolf of Wall Street,8.2,1035358,2013,180.0,"Biography,Crime,Drama",8.155975458288614
tt5074352,Dangal,8.5,123638,2016,161.0,"Action,Biography,Drama",8.135478309718915
tt2592910,CM101MMXI Fundamentals,9.2,41560,2013,139.0,"Comedy,Documentary",8.123050255408653
tt2096673,Inside Out,8.2,536181,2015,95.0,"Adventure,Animation,Comedy",8.116815118473362
tt2106476,The Hunt,8.3,242765,2012,115.0,Drama,8.116324855750378
tt1291584,Warrior,8.2,403755,2011,140.0,"Drama,Sport",8.091122494198318
tt6966692,Green Book,8.3,204972,2018,130.0,"Biography,Comedy,Drama",8.086140160541284
tt1832382,A Separation,8.3,197684,2011,123.0,"Drama,Thriller",8.079140957590129
tt5311514,Your Name.,8.4,134084,2016,106.0,"Animation,Drama,Fantasy",8.075129019888864
tt5027774,"Three Billboards Outside Ebbing, Missouri",8.2,344047,2017,115.0,"Crime,Drama",8.073507236205685
tt0848228,The Avengers,8.1,1183655,2012,143.0,"Action,Adventure,Sci-Fi",8.063445503472868
tt3170832,Room,8.2,316791,2015,118.0,"Drama,Thriller",8.063420116386915
tt1130884,Shutter Island,8.1,1005960,2010,138.0,"Mystery,Thriller",8.05714501532552
tt2015381,Guardians of the Galaxy,8.1,948394,2014,121.0,"Action,Adventure,Comedy",8.054610594476646
tt1392190,Mad Max: Fury Road,8.1,780910,2015,120.0,"Action,Adventure,Sci-Fi",8.045177780397315
tt2267998,Gone Girl,8.1,761592,2014,149.0,"Drama,Mystery,Thriller",8.043831395437532
tt1201607,Harry Potter and the Deathly Hallows: Part 2,8.1,691835,2011,130.0,"Adventure,Drama,Fantasy",8.038365488571289
tt2278388,The Grand Budapest Hotel,8.1,633604,2014,99.0,"Adventure,Comedy,Crime",8.03291602389296
tt0892769,How to Train Your Dragon,8.1,611299,2010,98.0,"Action,Adventure,Animation",8.03056444375993
tt2024544,12 Years a Slave,8.1,577301,2013,134.0,"Biography,Drama,History",8.026645024663747
tt3315342,Logan,8.1,560270,2017,137.0,"Action,Drama,Sci-Fi",8.024510439626155
tt1392214,Prisoners,8.1,526273,2013,153.0,"Crime,Drama,Mystery",8.019854999247196
